SalesOrderNumber;OrderDate;DueDate;ShipDate;Status;ShipMethod;CompanyName;City;StateProvince;CountryRegion;Name;Color;Size;Weight;OrderQty;UnitPrice;UnitPriceDiscount;SubTotal;TaxAmt;Freight;TotalDue
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;Mountain-200 Black, 38;Black;38;10591.33;4;1376.994;0.0;38418.6895;3073.4952;960.4672;42452.6519
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;LL Mountain Frame - Silver, 44;Silver;44;1342.63;2;158.43;0.0;38418.6895;3073.4952;960.4672;42452.6519
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;Mountain-200 Silver, 42;Silver;42;10781.83;4;1391.994;0.0;38418.6895;3073.4952;960.4672;42452.6519
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;HL Mountain Pedal;Silver/Black;;185.00;1;48.594;0.0;38418.6895;3073.4952;960.4672;42452.6519
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;Women's Mountain Shorts, S;Black;S;;6;41.994;0.0;38418.6895;3073.4952;960.4672;42452.6519
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;Mountain-500 Silver, 42;Silver;42;12596.19;1;112.998;0.4;38418.6895;3073.4952;960.4672;42452.6519
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;Mountain-500 Black, 40;Black;40;12405.69;2;323.994;0.0;38418.6895;3073.4952;960.4672;42452.6519
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;Mountain-500 Black, 44;Black;44;12759.49;3;323.994;0.0;38418.6895;3073.4952;960.4672;42452.6519
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;Mountain-500 Black, 48;Black;48;12891.03;1;323.994;0.0;38418.6895;3073.4952;960.4672;42452.6519
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;Mountain-500 Black, 52;Black;52;13008.96;2;323.994;0.0;38418.6895;3073.4952;960.4672;42452.6519
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;Mountain-500 Silver, 40;Silver;40;12405.69;2;112.998;0.4;38418.6895;3073.4952;960.4672;42452.6519
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;Mountain-500 Silver, 44;Silver;44;12759.49;3;112.998;0.4;38418.6895;3073.4952;960.4672;42452.6519
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;Mountain-500 Silver, 48;Silver;48;12891.03;3;112.998;0.4;38418.6895;3073.4952;960.4672;42452.6519
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;Mountain-400-W Silver, 40;Silver;40;12142.60;2;461.694;0.0;38418.6895;3073.4952;960.4672;42452.6519
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;Mountain-400-W Silver, 42;Silver;42;12305.90;3;461.694;0.0;38418.6895;3073.4952;960.4672;42452.6519
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;Mountain-200 Black, 42;Black;42;10781.83;5;1376.994;0.0;38418.6895;3073.4952;960.4672;42452.6519
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;ML Mountain Handlebars;;;;3;37.152;0.0;38418.6895;3073.4952;960.4672;42452.6519
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;HL Mountain Handlebars;;;;1;72.162;0.0;38418.6895;3073.4952;960.4672;42452.6519
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;LL Mountain Pedal;Silver/Black;;218.00;2;24.294;0.0;38418.6895;3073.4952;960.4672;42452.6519
SO71780;2008-06-01T00:00:00;2008-06-13T00:00:00;2008-06-08T00:00:00;Shipped;CARGO TRANSPORT 5;Nearby Cycle Shop;West Sussex;England;United Kingdom;LL Mountain Frame - Black, 44;Black;44;1342.63;1;149.874;0.0;38418.6895;3073.4952;960.4672;42452.6519
